,instance,id,m,t,val,time
0,c05100,0,5,100,4377,20.035112380981445
1,c05200,0,5,200,8254,20.05175471305847
2,c10100,0,10,100,4468,20.048233032226562
3,c10200,0,10,200,9180,20.156447887420654
4,c10400,0,10,400,18157,20.581433057785034
5,c15900,0,15,900,42552,26.445935249328613
6,c20100,0,20,100,4696,20.118122100830078
7,c201600,0,20,1600,76532,46.47918510437012
8,c20200,0,20,200,9549,20.401317834854126
9,c20400,0,20,400,19055,21.812312126159668
10,c30900,0,30,900,43694,33.543999910354614
11,c401600,0,40,1600,78368,87.11615872383118
12,c40400,0,40,400,19559,24.396840810775757
13,c60900,0,60,900,44428,54.37332820892334
14,c801600,0,80,1600,79365,174.58449149131775
15,d05100,0,5,100,9147,20.010828733444214
16,d05200,0,5,200,18750,20.03922748565674
17,d10100,0,10,100,10349,20.056166172027588
18,d10200,0,10,200,20562,20.133081197738647
19,d10400,0,10,400,41222,20.314457893371582
20,d15900,0,15,900,95869,23.959693908691406
21,d20100,0,20,100,10839,20.07020902633667
22,d201600,0,20,1600,173695,39.04452347755432
23,d20200,0,20,200,21733,20.410398960113525
24,d20400,0,20,400,43332,20.9607253074646
25,d30900,0,30,900,99560,33.21828579902649
26,d401600,0,40,1600,179034,67.3075680732727
27,d40400,0,40,400,44926,22.59626531600952
28,d60900,0,60,900,102225,46.180503129959106
29,d801600,0,80,1600,183367,130.44646286964417
