Instance,Run_ID,Res
gapa,1,2082,0.31276369094848633
gapa,2,4158,0.3657040596008301
gapa,3,1827,0.2849769592285156
gapa,4,3503,0.3694939613342285
gapa,5,1663,0.2817652225494385
gapa,6,3122,0.5123651027679443
gapb,1,1964,0.21208786964416504
gapb,2,4305,0.29929304122924805
gapb,3,1774,0.2425060272216797
gapb,4,3611,0.36449098587036133
gapb,5,1470,0.28725385665893555
gapb,6,2945,0.5042018890380859
gapc,1,2235,0.22742819786071777
gapc,2,3972,0.30608081817626953
gapc,3,1774,0.25880980491638184
gapc,4,3425,0.36455798149108887
gapc,5,1520,0.3028738498687744
gapc,6,3042,0.5114071369171143
gapd,1,6864,40.5101580619812
gapd,2,14325,0.3490927219390869
gapd,3,8011,0.2737710475921631
gapd,4,15786,0.41390061378479004
gapd,5,9262,0.3314528465270996
gapd,6,17650,0.552656888961792
